trace_name,start_time
AKOS_GH_HH_2012-10-09T12:39:00.000000Z,2012-10-09 12:39:00.000000
AKOS_GH_HH_2012-10-09T12:39:30.000000Z,2012-10-09 12:39:30.000000
AKOS_GH_HH_2012-10-09T12:40:00.000000Z,2012-10-09 12:40:00.000000
AKOS_GH_HH_2012-10-09T12:40:30.000000Z,2012-10-09 12:40:30.000000
AKOS_GH_HH_2012-10-09T12:41:00.000000Z,2012-10-09 12:41:00.000000
AKOS_GH_HH_2012-10-09T12:41:30.000000Z,2012-10-09 12:41:30.000000
AKOS_GH_HH_2012-10-09T12:42:00.000000Z,2012-10-09 12:42:00.000000
AKOS_GH_HH_2012-10-09T12:42:30.000000Z,2012-10-09 12:42:30.000000
AKOS_GH_HH_2012-10-09T12:43:00.000000Z,2012-10-09 12:43:00.000000
AKOS_GH_HH_2012-10-09T12:43:30.000000Z,2012-10-09 12:43:30.000000
AKOS_GH_HH_2012-10-09T12:44:00.000000Z,2012-10-09 12:44:00.000000
AKOS_GH_HH_2012-10-09T12:44:30.000000Z,2012-10-09 12:44:30.000000
AKOS_GH_HH_2012-10-09T12:45:00.000000Z,2012-10-09 12:45:00.000000
AKOS_GH_HH_2012-10-09T12:45:30.000000Z,2012-10-09 12:45:30.000000
AKOS_GH_HH_2012-10-09T12:46:00.000000Z,2012-10-09 12:46:00.000000
AKOS_GH_HH_2012-10-09T12:46:30.000000Z,2012-10-09 12:46:30.000000
AKOS_GH_HH_2012-10-09T12:47:00.000000Z,2012-10-09 12:47:00.000000
AKOS_GH_HH_2012-10-09T12:47:30.000000Z,2012-10-09 12:47:30.000000
AKOS_GH_HH_2012-10-09T12:48:00.000000Z,2012-10-09 12:48:00.000000
AKOS_GH_HH_2012-10-09T12:48:30.000000Z,2012-10-09 12:48:30.000000
AKOS_GH_HH_2012-10-09T12:49:00.000000Z,2012-10-09 12:49:00.000000
AKOS_GH_HH_2012-10-09T12:49:30.000000Z,2012-10-09 12:49:30.000000
